09:35:09.303 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:42:50.916 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:42 | RESUME :: state=AsyncProcessing
09:42:58.912 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:42:58.933 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:42:58.959 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:42:59.001 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49633
09:42:59.003 |V| Server                        | ServerSocket-UnityServer-Receiver:50 | ServerSocket-UnityServer : accepting, port: 49633
09:42:59.542 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
09:42:59.544 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
09:42:59.550 |I| Launcher                      | :1                 | Creating Root ScriptableObject
09:42:59.550 |I| Launcher                      | :1                 | Subscribing for events
09:42:59.578 |I| Launcher                      | :1                 | Start running backend
09:42:59.581 |V| Launcher                      | :1                 | Waiting connection...
09:43:00.517 |V| Server                        | ServerSocket-UnityServer-Receiver:50 | ServerSocket-UnityServer : accepted
09:43:00.518 |V| Server                        | ServerSocket-UnityServer-Receiver:50 | ServerSocket-UnityServer : connected
09:43:00.551 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:50 | RESUME :: state=AsyncProcessing
09:43:01.644 |V| Launcher                      | :1                 | Ready!
09:43:24.424 |V| Base                          | :1                 | closing server socket
09:43:24.448 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
09:43:24.450 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
09:43:24.450 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
09:43:24.452 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
09:43:24.453 |V| Server                        | ServerSocket-UnityServer-Receiver:50 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
09:43:24.455 |V| Server                        | ServerSocket-UnityServer-Receiver:50 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
09:43:24.458 |V| Server                        | ServerSocket-UnityServer-Receiver:50 | ServerSocket-UnityServer: terminated.
09:43:24.458 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
09:43:30.098 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:43:30.117 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:43:30.140 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:43:30.178 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49638
09:43:30.180 |V| Server                        | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer : accepting, port: 49638
09:43:32.096 |V| Server                        | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer : accepted
09:43:32.098 |V| Server                        | ServerSocket-UnityServer-Receiver:58 | ServerSocket-UnityServer : connected
09:43:32.134 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:58 | RESUME :: state=AsyncProcessing
09:43:39.703 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:43:39.724 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:43:39.753 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:43:39.794 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49642
09:43:39.796 |V| Server                        | ServerSocket-UnityServer-Receiver:66 | ServerSocket-UnityServer : accepting, port: 49642
09:43:40.330 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
09:43:40.333 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
09:43:40.337 |I| Launcher                      | :1                 | Creating Root ScriptableObject
09:43:40.338 |I| Launcher                      | :1                 | Subscribing for events
09:43:40.368 |I| Launcher                      | :1                 | Start running backend
09:43:40.372 |V| Launcher                      | :1                 | Waiting connection...
09:43:41.310 |V| Server                        | ServerSocket-UnityServer-Receiver:66 | ServerSocket-UnityServer : accepted
09:43:41.311 |V| Server                        | ServerSocket-UnityServer-Receiver:66 | ServerSocket-UnityServer : connected
09:43:41.336 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:66 | RESUME :: state=AsyncProcessing
09:43:42.453 |V| Launcher                      | :1                 | Ready!
09:47:25.996 |V| Base                          | :1                 | closing server socket
09:47:26.016 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
09:47:26.019 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
09:47:26.019 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
09:47:26.020 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
09:47:26.023 |V| Server                        | ServerSocket-UnityServer-Receiver:66 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
09:47:26.026 |V| Server                        | ServerSocket-UnityServer-Receiver:66 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
09:47:26.028 |V| Server                        | ServerSocket-UnityServer-Receiver:66 | ServerSocket-UnityServer: terminated.
09:47:26.029 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
09:47:33.676 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:47:33.696 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:47:33.723 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:47:33.762 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49650
09:47:33.764 |V| Server                        | ServerSocket-UnityServer-Receiver:76 | ServerSocket-UnityServer : accepting, port: 49650
09:47:34.266 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
09:47:34.269 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
09:47:34.274 |I| Launcher                      | :1                 | Creating Root ScriptableObject
09:47:34.274 |I| Launcher                      | :1                 | Subscribing for events
09:47:34.298 |I| Launcher                      | :1                 | Start running backend
09:47:34.302 |V| Launcher                      | :1                 | Waiting connection...
09:47:35.301 |V| Server                        | ServerSocket-UnityServer-Receiver:76 | ServerSocket-UnityServer : accepted
09:47:35.302 |V| Server                        | ServerSocket-UnityServer-Receiver:76 | ServerSocket-UnityServer : connected
09:47:35.329 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:76 | RESUME :: state=AsyncProcessing
09:47:36.424 |V| Launcher                      | :1                 | Ready!
09:48:21.307 |V| Base                          | :1                 | closing server socket
09:48:21.325 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
09:48:21.326 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
09:48:21.326 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
09:48:21.328 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
09:48:21.329 |V| Server                        | ServerSocket-UnityServer-Receiver:76 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
09:48:21.331 |V| Server                        | ServerSocket-UnityServer-Receiver:76 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
09:48:21.333 |V| Server                        | ServerSocket-UnityServer-Receiver:76 | ServerSocket-UnityServer: terminated.
09:48:21.334 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
09:48:28.981 |I| Launcher                      | :1                 | Checking if build hasn't expired.
09:48:29.001 |I| Launcher                      | :1                 | Starting RiderFlow frontend
09:48:29.029 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
09:48:29.068 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49655
09:48:29.070 |V| Server                        | ServerSocket-UnityServer-Receiver:85 | ServerSocket-UnityServer : accepting, port: 49655
09:48:29.622 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
09:48:29.624 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
09:48:29.629 |I| Launcher                      | :1                 | Creating Root ScriptableObject
09:48:29.629 |I| Launcher                      | :1                 | Subscribing for events
09:48:29.660 |I| Launcher                      | :1                 | Start running backend
09:48:29.663 |V| Launcher                      | :1                 | Waiting connection...
09:48:30.605 |V| Server                        | ServerSocket-UnityServer-Receiver:85 | ServerSocket-UnityServer : accepted
09:48:30.605 |V| Server                        | ServerSocket-UnityServer-Receiver:85 | ServerSocket-UnityServer : connected
09:48:30.632 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:85 | RESUME :: state=AsyncProcessing
09:48:31.787 |V| Launcher                      | :1                 | Ready!
10:16:10.233 |V| Base                          | :1                 | closing server socket
10:16:10.253 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:16:10.255 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:16:10.255 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:16:10.257 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:16:10.258 |V| Server                        | ServerSocket-UnityServer-Receiver:85 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:16:10.263 |V| Server                        | ServerSocket-UnityServer-Receiver:85 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
10:16:10.266 |V| Server                        | ServerSocket-UnityServer-Receiver:85 | ServerSocket-UnityServer: terminated.
10:16:10.266 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:16:18.268 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:16:18.288 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:16:18.316 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:16:18.359 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49720
10:16:18.361 |V| Server                        | ServerSocket-UnityServer-Receiver:96 | ServerSocket-UnityServer : accepting, port: 49720
10:16:18.913 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:16:18.915 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:16:18.920 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:16:18.921 |I| Launcher                      | :1                 | Subscribing for events
10:16:18.949 |I| Launcher                      | :1                 | Start running backend
10:16:18.954 |V| Launcher                      | :1                 | Waiting connection...
10:16:19.850 |V| Server                        | ServerSocket-UnityServer-Receiver:96 | ServerSocket-UnityServer : accepted
10:16:19.851 |V| Server                        | ServerSocket-UnityServer-Receiver:96 | ServerSocket-UnityServer : connected
10:16:19.883 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:96 | RESUME :: state=AsyncProcessing
10:16:21.080 |V| Launcher                      | :1                 | Ready!
10:22:49.645 |V| Base                          | :1                 | closing server socket
10:22:49.663 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:22:49.666 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:22:49.666 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:22:49.671 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:22:49.672 |V| Server                        | ServerSocket-UnityServer-Receiver:96 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:22:49.674 |V| Server                        | ServerSocket-UnityServer-Receiver:96 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1283
10:22:49.675 |V| Server                        | ServerSocket-UnityServer-Receiver:96 | ServerSocket-UnityServer: terminated.
10:22:49.676 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:22:56.057 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:22:56.076 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:22:56.100 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:22:56.140 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49751
10:22:56.142 |V| Server                        | ServerSocket-UnityServer-Receiver:105 | ServerSocket-UnityServer : accepting, port: 49751
10:22:58.068 |V| Server                        | ServerSocket-UnityServer-Receiver:105 | ServerSocket-UnityServer : accepted
10:22:58.069 |V| Server                        | ServerSocket-UnityServer-Receiver:105 | ServerSocket-UnityServer : connected
10:22:58.100 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:105 | RESUME :: state=AsyncProcessing
10:22:59.100 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:22:59.103 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:22:59.106 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:22:59.106 |I| Launcher                      | :1                 | Subscribing for events
10:22:59.130 |I| Launcher                      | :1                 | Start running backend
10:22:59.134 |V| Launcher                      | :1                 | Waiting connection...
10:23:00.051 |V| Launcher                      | :1                 | Ready!
10:23:04.628 |V| Base                          | :1                 | closing server socket
10:23:04.641 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:23:04.644 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:23:04.644 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:23:04.645 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:23:04.646 |V| Server                        | ServerSocket-UnityServer-Receiver:105 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:23:04.648 |V| Server                        | ServerSocket-UnityServer-Receiver:105 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1065
10:23:04.650 |V| Server                        | ServerSocket-UnityServer-Receiver:105 | ServerSocket-UnityServer: terminated.
10:23:04.650 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:23:12.280 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:23:12.305 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:23:12.334 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:23:12.378 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49755
10:23:12.380 |V| Server                        | ServerSocket-UnityServer-Receiver:113 | ServerSocket-UnityServer : accepting, port: 49755
10:23:12.952 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:23:12.956 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:23:12.961 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:23:12.961 |I| Launcher                      | :1                 | Subscribing for events
10:23:12.987 |I| Launcher                      | :1                 | Start running backend
10:23:12.991 |V| Launcher                      | :1                 | Waiting connection...
10:23:13.874 |V| Server                        | ServerSocket-UnityServer-Receiver:113 | ServerSocket-UnityServer : accepted
10:23:13.875 |V| Server                        | ServerSocket-UnityServer-Receiver:113 | ServerSocket-UnityServer : connected
10:23:13.910 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:113 | RESUME :: state=AsyncProcessing
10:23:15.098 |V| Launcher                      | :1                 | Ready!
10:23:50.840 |V| Base                          | :1                 | closing server socket
10:23:50.856 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:23:50.858 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:23:50.858 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:23:50.860 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:23:50.861 |V| Server                        | ServerSocket-UnityServer-Receiver:113 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:23:50.863 |V| Server                        | ServerSocket-UnityServer-Receiver:113 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1283
10:23:50.865 |V| Server                        | ServerSocket-UnityServer-Receiver:113 | ServerSocket-UnityServer: terminated.
10:23:50.865 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:23:56.644 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:23:56.663 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:23:56.688 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:23:56.727 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49765
10:23:56.729 |V| Server                        | ServerSocket-UnityServer-Receiver:122 | ServerSocket-UnityServer : accepting, port: 49765
10:23:58.644 |V| Server                        | ServerSocket-UnityServer-Receiver:122 | ServerSocket-UnityServer : accepted
10:23:58.645 |V| Server                        | ServerSocket-UnityServer-Receiver:122 | ServerSocket-UnityServer : connected
10:23:58.675 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:122 | RESUME :: state=AsyncProcessing
10:23:59.901 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:23:59.903 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:23:59.908 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:23:59.908 |I| Launcher                      | :1                 | Subscribing for events
10:23:59.935 |I| Launcher                      | :1                 | Start running backend
10:23:59.938 |V| Launcher                      | :1                 | Waiting connection...
10:24:00.868 |V| Launcher                      | :1                 | Ready!
10:25:21.019 |V| Base                          | :1                 | closing server socket
10:25:21.048 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:25:21.052 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:25:21.052 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:25:21.055 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:25:21.058 |V| Server                        | ServerSocket-UnityServer-Receiver:122 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:25:21.062 |V| Server                        | ServerSocket-UnityServer-Receiver:122 | ServerSocket-UnityServer: Total traffic: sent 1253, received 2058
10:25:21.071 |V| Server                        | ServerSocket-UnityServer-Receiver:122 | ServerSocket-UnityServer: terminated.
10:25:21.072 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:25:28.459 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:25:28.480 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:25:28.517 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:25:28.563 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49774
10:25:28.565 |V| Server                        | ServerSocket-UnityServer-Receiver:131 | ServerSocket-UnityServer : accepting, port: 49774
10:25:29.986 |V| Server                        | ServerSocket-UnityServer-Receiver:131 | ServerSocket-UnityServer : accepted
10:25:29.987 |V| Server                        | ServerSocket-UnityServer-Receiver:131 | ServerSocket-UnityServer : connected
10:25:30.041 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:131 | RESUME :: state=AsyncProcessing
10:25:42.872 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:25:42.895 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:25:42.924 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:25:42.971 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49778
10:25:42.974 |V| Server                        | ServerSocket-UnityServer-Receiver:138 | ServerSocket-UnityServer : accepting, port: 49778
10:25:44.913 |V| Server                        | ServerSocket-UnityServer-Receiver:138 | ServerSocket-UnityServer : accepted
10:25:44.913 |V| Server                        | ServerSocket-UnityServer-Receiver:138 | ServerSocket-UnityServer : connected
10:25:44.976 |V| ServerSocket-UnityServer-Sender| ServerSocket-UnityServer-Receiver:138 | RESUME :: state=AsyncProcessing
10:25:49.655 |V| RiderFlowAnalytics            | :1                 | Found 'analytics' in /Users/home/.config/RiderFlow. Trying to extract use guid...
10:25:49.660 |V| RiderFlowAnalytics            | :1                 | Found uuid in 'analytics'.
10:25:49.673 |I| Launcher                      | :1                 | Creating Root ScriptableObject
10:25:49.673 |I| Launcher                      | :1                 | Subscribing for events
10:25:49.702 |I| Launcher                      | :1                 | Start running backend
10:25:49.707 |V| Launcher                      | :1                 | Waiting connection...
10:25:50.684 |V| Launcher                      | :1                 | Ready!
10:26:00.353 |V| Base                          | :1                 | closing server socket
10:26:00.370 |V| Server                        | :1                 | ServerSocket-UnityServer: start termination of lifetime
10:26:00.372 |V| Server                        | :1                 | ServerSocket-UnityServer: send buffer stopped, success: True
10:26:00.372 |V| Server                        | :1                 | ServerSocket-UnityServer: closing socket because of lifetime
10:26:00.374 |V| Server                        | :1                 | ServerSocket-UnityServer: waiting for receiver thread
10:26:00.375 |V| Server                        | ServerSocket-UnityServer-Receiver:138 | Exception in SocketWire.Receive: SocketException ServerSocket-UnityServer interrupted
10:26:00.377 |V| Server                        | ServerSocket-UnityServer-Receiver:138 | ServerSocket-UnityServer: Total traffic: sent 1253, received 1923
10:26:00.380 |V| Server                        | ServerSocket-UnityServer-Receiver:138 | ServerSocket-UnityServer: terminated.
10:26:00.380 |V| Server                        | :1                 | ServerSocket-UnityServer: termination finished
10:26:06.067 |I| Launcher                      | :1                 | Checking if build hasn't expired.
10:26:06.087 |I| Launcher                      | :1                 | Starting RiderFlow frontend
10:26:06.118 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
10:26:06.164 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 49782
